id,stack_id,name,rowrange,depth,stackdesignation_id,stackdesignationpriority,maxheight,deletedon
2351473,2351470,142-9,"[48800,54900)",0,12280676,0,,
2351471,2351470,142-7,"[36600,42700)",0,14553899,0,,
2351472,2351470,142-8,"[42700,48800)",0,14553899,0,,
2351468,2351463,141-11,"[61000,67100)",0,,0,,
2351785,2351777,221-5,"[42700,48800)",0,18389855,0,,
2351791,2351790,222-12,"[0,6100)",0,14606561,0,,
2351792,2351790,222-11,"[6100,12200)",0,14606561,0,,
2351480,2351477,143-11,"[61000,67100)",0,,0,,
2351481,2351477,143-12,"[67100,73200)",0,,0,,
2351788,2351777,221-2,"[61000,67100)",0,18389855,0,,
2351454,2351453,140-5,"[24400,30500)",0,,0,,
2351456,2351453,140-6,"[30500,36600)",0,,0,,
2351457,2351453,140-7,"[36600,42700)",0,,0,,
2351458,2351453,140-8,"[42700,48800)",0,,0,,
2351459,2351453,140-9,"[48800,54900)",0,,0,,
2351460,2351453,140-10,"[54900,61000)",0,,0,,
2351461,2351453,140-11,"[61000,67100)",0,,0,,
2351462,2351453,140-12,"[67100,73200)",0,,0,,
2351793,2351790,222-10,"[12200,18300)",0,14606561,0,,
2351794,2351790,222-9,"[18300,24400)",0,14606561,0,,
2351795,2351790,222-8,"[24400,30500)",0,14606561,0,,
2351796,2351790,222-7,"[30500,36600)",0,14606561,0,,
2351797,2351790,222-6,"[36600,42700)",0,14606561,0,,
2351818,2351817,224-12,"[0,6100)",0,12907206,0,,
2351819,2351817,224-11,"[6100,12200)",0,12907206,0,,
2351820,2351817,224-10,"[12200,18300)",0,12907206,0,,
