id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
4139284,2351390,"[36602,42698)",0,"[0,2621)",3207065,4139268,,4139536,,,,1,0,,0,0,4139283,0
3838769,2352129,"[0,1)",0,"[0,1)",3668568,3838718,,3832412,,,,1,0,,0,0,3838768,0
3829163,2351853,"[6,12198)",0,"[0,2896)",3668418,3829131,,3829471,,,,1,0,,0,0,3829162,0
3417035,2352137,"[0,1)",0,"[0,1)",3126904,3126900,,3417034,,,,1,0,,0,0,3417036,0
3418852,2352137,"[0,1)",0,"[0,1)",3127118,3127114,,3418851,,,,1,0,,0,0,3418853,0
3419003,2352137,"[0,1)",0,"[0,1)",3129032,3129028,,3419002,,,,1,0,,0,0,3419004,0
3419122,2352137,"[0,1)",0,"[0,1)",3127003,3126999,,3419121,,,,1,0,,0,0,3419123,0
3419285,2352137,"[0,1)",0,"[0,1)",3128967,3128963,,3419284,,,,1,0,,0,0,3419286,0
3419412,2352137,"[0,1)",0,"[0,1)",3129169,3129165,,3419411,,,,1,0,,0,0,3419413,0
3392024,2352135,"[0,1)",0,"[0,1)",3235939,3235933,,3392023,,,,1,0,,0,0,3392025,0
3862384,2351426,"[61002,67098)",0,"[5242,7863)",3128955,3862171,,3862436,,,,1,0,,0,0,3862383,0
3444944,2351399,"[54902,60998)",0,"[0,2621)",3211232,,3444942,,3444999,,,1,0,,0,0,3444943,0
3186958,2351500,"[24402,38118)",0,"[7863,10484)",3175255,,3186956,3175252,,,,1,0,,0,0,3186957,0
3861654,2351326,"[24402,36594)",0,"[0,2926)",3114046,3672524,,3114051,,,,1,0,,0,0,3861653,0
3186079,2351500,"[24402,38118)",0,"[2621,5242)",3174760,,3186077,3174757,,,,1,0,,0,0,3186078,0
3186962,2351500,"[48802,62518)",0,"[7863,10484)",3168028,,3186960,3168025,,,,1,0,,0,0,3186961,0
3186083,2351500,"[48802,62518)",0,"[2621,5242)",3166505,,3186081,3166502,,,,1,0,,0,0,3186082,0
3839401,2352137,"[0,1)",0,"[0,1)",3679030,3679026,,3843645,,,,1,0,,0,0,3839402,0
3840344,2352137,"[0,1)",0,"[0,1)",3678794,3678790,,3843966,,,,1,0,,0,0,3840346,0
3839963,2352137,"[0,1)",0,"[0,1)",3678704,3678700,,3844147,,,,1,0,,0,0,3839964,0
3840263,2352137,"[0,1)",0,"[0,1)",3678662,3678658,,3844459,,,,1,0,,0,0,3840265,0
3841757,2352137,"[0,1)",0,"[0,1)",3668713,3668709,,3845858,,,,1,0,,0,0,3841758,0
4131295,2351996,"[2,13718)",0,"[0,2621)",3128029,4131273,,3128032,,,,1,0,,0,0,4131294,0
3920830,2351887,"[12206,24398)",0,"[5792,8688)",3122918,3920788,,3920899,,,,1,0,,0,0,3920829,0
3570301,2351764,"[61002,67098)",0,"[0,2621)",3125745,3569903,,,4014356,,,1,0,,0,0,3570300,0
3963671,2352135,"[0,1)",0,"[0,1)",3111094,3111088,,3111103,,,,1,0,,0,0,3963672,0
3647189,2351777,"[4582,18298)",0,"[2621,5242)",3124944,3644930,,,4014338,,,1,0,,1,1,3647188,1
3330112,2351831,"[2,13718)",0,"[0,2621)",3237721,3274224,,,4014339,,,1,0,,2,2,3330111,2
3940354,2351426,"[61002,67098)",0,"[5242,7863)",3128889,3940338,,,4014340,,,1,0,,0,0,3940353,1
3332451,2351831,"[2,13718)",0,"[5242,7863)",3235185,3292770,,,4014341,,,1,0,,0,0,3332450,0
3940360,2351426,"[54902,60998)",0,"[5242,7863)",3126390,3940340,,,4014342,,,1,0,,0,0,3940359,2
3335842,2350905,"[2,12194)",0,"[0,2926)",3129451,3289136,,,4014343,,,1,0,,2,2,3335841,2
3336319,2352135,"[0,1)",0,"[0,1)",3237757,3237750,,,4014344,,,1,0,,0,0,3336320,0
5622061,2387709,"[0,1)",0,"[0,1)",5558096,5613533,,5558093,,,,1,0,,0,0,5622060,0
4136191,2351435,"[30502,36598)",0,"[2621,5242)",3108003,4136169,,6192261,,,,1,0,,0,0,4136190,0
3194303,2351500,"[6102,19818)",0,"[5242,7863)",3175093,,3194301,3175090,,,,1,0,,0,0,3194302,0
3467119,2352135,"[0,1)",0,"[0,1)",3126439,3126435,,3467118,,,,1,0,,0,0,3467120,0
3186826,2352103,"[2,12194)",0,"[2926,5822)",3123596,,3186824,,3563099,,,1,0,,0,0,3186825,0
3278207,2352135,"[0,1)",0,"[0,1)",3234761,3234755,,,3335979,,,1,0,,0,0,3278208,0
4150024,2351685,"[6,12198)",0,"[2621,5517)",3109236,4150010,,6340801,,,,1,0,,0,0,4150023,0
17764212,2352131,"[0,1)",0,"[0,1)",17674151,17762207,,,,,,1,0,,0,0,17764211,0
3185818,2352103,"[2,12194)",0,"[0,2926)",3122932,,3185816,,3563106,,,1,0,,1,1,3185817,1
4498532,2352137,"[0,1)",0,"[0,1)",3119936,4498510,,3119945,,,,1,0,,0,0,4498533,0
3581555,2352135,"[0,1)",0,"[0,1)",3127731,3127727,,3581554,,,,1,0,,0,0,3581556,0
4745042,2387709,"[0,1)",0,"[0,1)",4714742,4743957,,4714739,,,,1,0,,0,0,4745041,0
3571390,2352135,"[0,1)",0,"[0,1)",3128277,3128273,,3571389,,,,1,0,,0,0,3571391,0
4150051,2351685,"[6,12198)",0,"[5517,8413)",3104828,4150040,,5181081,,,,1,0,,0,0,4150050,0
4136295,2350829,"[12202,24394)",0,"[0,2621)",3163546,4136272,,,,,,1,0,,0,0,4136294,0
3185429,2351566,"[12202,25918)",0,"[0,2621)",3112180,,3185427,3112186,,,,1,0,,0,0,3185428,0
3390659,2350905,"[24402,36594)",0,"[2621,5547)",3127433,3389403,,,4014371,,,1,0,,2,2,3390658,2
3417155,2352137,"[0,1)",0,"[0,1)",3127334,3127330,,3417154,,,,1,0,,0,0,3417156,0
3419652,2352137,"[0,1)",0,"[0,1)",3127069,3127065,,3419651,,,,1,0,,0,0,3419653,0
4143508,2351579,"[24406,36598)",0,"[2896,5792)",3273965,4143484,,,6515842,,,1,0,,0,0,4143507,0
10724766,2351477,"[61002,67098)",0,"[5242,7863)",8118064,10724746,,13996378,,,,1,0,,0,0,10724765,0
3573576,2352135,"[0,1)",0,"[0,1)",3125646,3125642,,3573575,,,,1,0,,0,0,3573577,0
4136404,2350829,"[24402,30498)",0,"[2621,5242)",3161331,4136382,,,5541427,,,1,0,,0,0,4136403,0
14033868,2352139,"[0,1)",0,"[0,1)",6689364,14033856,,6689369,,,,1,0,,0,0,14033867,0
3574102,2352135,"[0,1)",0,"[0,1)",3125255,3125251,,3574101,,,,1,0,,0,0,3574103,0
5184334,2351672,"[12206,24398)",0,"[0,2896)",3104942,5184133,,5956338,,,,1,0,,0,0,5184333,0
3185723,2351417,"[67102,73198)",0,"[0,2621)",3119596,,3185721,3119593,,,,1,0,,0,0,3185722,0
3838996,2351853,"[36606,48798)",0,"[0,2896)",3668558,3838975,,3832600,,,,1,0,,0,0,3838995,0
4136512,2350829,"[36602,42698)",0,"[0,2621)",3160571,4136496,,,,,,1,0,,1,1,4136511,1
